id,lineup_id,player_id,number,name,position,is_starter
1,1,61,1,维多利亚,守门员,1
2,1,62,2,约翰斯顿,后卫,1
3,1,63,4,米勒,后卫,1
4,1,57,12,布坎南,后卫,1
5,1,58,7,欧斯塔基奥,中场,1
6,1,59,8,科内,中场,1
7,1,64,6,皮耶特,中场,1
8,1,67,17,科尔多瓦,中场,1
9,1,55,19,阿方索·戴维斯,前锋,1
10,1,56,20,戴维,前锋,1
11,1,60,9,拉林,前锋,1
12,1,69,23,史密斯,守门员,0
13,1,68,22,米利亚,后卫,0
14,1,65,13,哈钦森,中场,0
15,1,66,11,卡瓦利尼,前锋,0
16,2,124,1,布努,守门员,1
17,2,125,2,阿什拉夫,后卫,1
18,2,132,5,阿格尔德,后卫,1
19,2,127,6,赛斯,后卫,1
20,2,126,3,马兹拉维,后卫,1
21,2,128,4,阿姆拉巴特,中场,1
22,2,134,8,奥纳西,中场,1
23,2,129,7,齐耶赫,前锋,1
24,2,130,19,恩内斯里,前锋,1
25,2,131,17,鲍法尔,前锋,1
26,2,135,11,穆尼尔,前锋,1
27,2,136,13,埃尔哈米迪,后卫,0
28,2,137,20,哈默德,前锋,0
29,3,173,10,阿尔米隆,中场,1
30,3,175,2,古斯塔沃·戈麦斯,后卫,1
31,3,176,4,阿尔德雷特,后卫,1
32,3,177,8,比利亚桑蒂,中场,1
33,3,178,11,恩西索,前锋,1
34,3,179,9,萨纳夫里亚,前锋,1
35,3,180,6,冈萨雷斯,中场,1
36,3,181,13,阿萨门迪亚,中场,1
37,3,182,19,佩雷斯,前锋,1
38,3,174,1,达米安·马丁内斯,守门员,1
39,4,394,1,洛里,守门员,1
40,4,395,25,孔德,后卫,1
41,4,396,2,于帕梅卡诺,后卫,1
42,4,397,22,特奥,后卫,1
43,4,398,8,楚阿梅尼,中场,1
44,4,399,14,拉比奥特,中场,1
45,4,400,7,格列兹曼,前锋,1
46,4,401,10,姆巴佩,前锋,1
47,4,402,11,登贝莱,前锋,1
48,4,403,20,科曼,前锋,1
49,4,404,12,马库斯·图拉姆,前锋,1
50,4,405,16,迈尼昂,守门员,0
51,4,406,4,萨利巴,后卫,0
52,4,407,6,卡马文加,中场,0
53,5,108,1,阿利松,守门员,1
54,5,109,4,马尔基尼奥斯,后卫,1
55,5,110,3,蒂亚戈·席尔瓦,后卫,1
56,5,111,14,米利唐,后卫,1
57,5,112,5,卡塞米罗,中场,1
58,5,113,8,恩佐·费尔南德斯,中场,1
59,5,114,7,维尼修斯,前锋,1
60,5,115,10,罗德里戈,前锋,1
61,5,116,11,拉菲尼亚,前锋,1
62,5,117,9,理查利森,前锋,1
63,5,118,17,帕奎塔,中场,1
64,5,121,23,埃德森,守门员,0
65,5,119,15,吉马良斯,中场,0
66,5,120,2,达尼洛,后卫,0
67,6,429,9,哈兰德,前锋,1
68,6,430,10,厄德高,中场,1
69,6,432,4,阿热,后卫,1
70,6,433,3,梅林,后卫,1
71,6,434,8,贝格,中场,1
72,6,435,11,埃尔尤努西,前锋,1
73,6,436,7,索尔洛特,前锋,1
74,6,437,6,奥斯内斯,中场,1
75,6,438,2,赖恩斯,后卫,1
76,6,431,1,索尔斯韦特,守门员,1
77,6,439,17,努萨,前锋,1
78,7,1,13,奥乔亚,守门员,1
79,7,3,3,蒙特斯,后卫,1
80,7,4,4,阿尔瓦雷斯,后卫,1
81,7,5,2,阿劳霍,后卫,1
82,7,7,16,埃雷拉,中场,1
83,7,8,24,查韦斯,中场,1
84,7,9,17,皮内达,中场,1
85,7,10,8,安图尼亚,中场,1
86,7,11,22,洛萨诺,前锋,1
87,7,12,9,希门尼斯,前锋,1
88,7,13,11,马丁,前锋,1
89,7,2,1,科塔,守门员,0
90,7,6,15,加利亚多,后卫,0
91,7,14,10,巴斯克斯,前锋,0
92,8,527,1,皮克福德,守门员,1
93,8,528,2,凯尔·沃克,后卫,1
94,8,529,5,马奎尔,后卫,1
95,8,530,4,斯通斯,后卫,1
96,8,531,41,赖斯,中场,1
97,8,532,10,贝林厄姆,中场,1
98,8,533,9,凯恩,前锋,1
99,8,534,7,萨卡,前锋,1
100,8,535,20,帕尔默,中场,1
101,8,536,11,福登,中场,1
102,8,537,17,格拉利什,前锋,1
103,8,538,66,阿诺德,后卫,0
104,8,539,3,卢克·肖,后卫,0
105,8,540,8,麦迪逊,中场,0
106,9,483,7,C罗,前锋,1
107,9,484,8,B费,中场,1
108,9,485,10,B席,中场,1
109,9,486,15,莱奥,前锋,1
110,9,487,11,菲利克斯,前锋,1
111,9,488,13,内维斯,中场,1
112,9,489,3,佩佩,后卫,1
113,9,490,4,迪亚斯,后卫,1
114,9,491,20,坎塞洛,后卫,1
115,9,492,22,科斯塔,守门员,1
116,9,493,23,维蒂尼亚,中场,1
117,9,494,19,努诺·门德斯,后卫,0
118,9,495,16,奥塔维奥,中场,0
119,9,496,17,格德斯,前锋,0
120,10,348,23,乌奈·西蒙,守门员,1
121,10,349,2,卡瓦哈尔,后卫,1
122,10,350,14,拉波尔特,后卫,1
123,10,351,4,纳乔,后卫,1
124,10,352,16,罗德里,中场,1
125,10,353,26,佩德里,中场,1
126,10,354,9,加维,中场,1
127,10,355,19,亚马尔,前锋,1
128,10,356,7,莫拉塔,前锋,1
129,10,357,11,费兰·托雷斯,前锋,1
130,10,358,21,奥亚萨瓦尔,前锋,1
131,10,359,3,库库雷利亚,后卫,0
132,10,360,8,梅里诺,中场,0
133,10,361,12,何塞卢,前锋,0
134,11,158,10,普利希奇,前锋,1
135,11,159,20,巴洛贡,前锋,1
136,11,160,11,雷纳,中场,1
137,11,161,4,亚当斯,中场,1
138,11,162,2,德斯特,后卫,1
139,11,163,1,特纳,守门员,1
140,11,164,5,罗宾逊,后卫,1
141,11,165,8,麦肯尼,中场,1
142,11,166,14,穆萨,中场,1
143,11,167,21,维阿,前锋,1
144,11,168,3,齐默曼,后卫,1
145,11,169,13,莫里斯,前锋,0
146,11,170,23,阿科斯塔,中场,0
147,11,171,17,斯卡利,后卫,0
148,12,305,1,库尔图瓦,守门员,1
149,12,306,7,德布劳内,中场,1
150,12,307,9,卢卡库,前锋,1
151,12,308,11,多库,前锋,1
152,12,309,5,费尔通亨,后卫,1
153,12,310,2,阿尔德韦雷尔德,后卫,1
154,12,311,11,卡拉斯科,中场,1
155,12,312,8,蒂勒曼斯,中场,1
156,12,313,17,特罗萨德,前锋,1
157,12,314,19,奥蓬达,前锋,1
158,12,315,3,卡斯塔涅,后卫,1
159,12,316,6,奥纳纳,中场,0
160,12,317,12,卡明斯基,守门员,0
161,12,318,4,法斯,后卫,0
162,13,440,23,马丁内斯,守门员,1
163,13,441,26,莫利纳,后卫,1
164,13,442,13,罗梅罗,后卫,1
165,13,443,19,奥塔门迪,后卫,1
166,13,444,7,德保罗,中场,1
167,13,445,24,恩佐·费尔南德斯,中场,1
168,13,446,20,麦卡利斯特,中场,1
169,13,447,10,梅西,前锋,1
170,13,448,9,阿尔瓦雷斯,前锋,1
171,13,449,22,劳塔罗,前锋,1
172,13,450,11,迪马利亚,前锋,1
173,13,451,5,帕雷德斯,中场,0
174,13,452,3,塔利亚菲科,后卫,0
175,13,453,8,阿库尼亚,后卫,0
176,14,320,10,萨拉赫,前锋,1
177,14,321,17,埃尔内尼,中场,1
178,14,322,9,马尔穆什,前锋,1
179,14,323,7,特雷泽盖,中场,1
180,14,324,5,赫加齐,后卫,1
181,14,325,2,阿什拉夫,后卫,1
182,14,326,1,法蒂,守门员,1
183,14,327,8,哈姆迪,中场,1
184,14,328,11,阿德尔,前锋,1
185,14,329,6,拉米,后卫,1
186,15,93,1,索默,守门员,1
187,15,94,5,阿坎吉,后卫,1
188,15,95,22,埃尔维迪,后卫,1
189,15,96,13,里卡多·罗德里格斯,后卫,1
190,15,97,34,扎卡,中场,1
191,15,98,23,沙奇里,中场,1
192,15,99,7,恩博洛,前锋,1
193,15,100,11,巴尔加斯,前锋,1
194,15,101,6,弗罗伊勒,中场,1
195,15,102,8,扎卡里亚,中场,1
196,15,103,17,奥卡福尔,前锋,1
197,15,104,2,姆巴布,后卫,0
198,15,105,21,科贝尔,守门员,0
199,15,106,3,威德默,后卫,0
200,16,515,10,J罗,中场,1
201,16,516,7,路易斯·迪亚斯,前锋,1
202,16,517,1,奥斯皮纳,守门员,1
203,16,518,13,米纳,后卫,1
204,16,519,11,夸德拉多,后卫,1
205,16,520,5,巴里奥斯,中场,1
206,16,521,9,穆里尔,前锋,1
207,16,522,19,萨帕塔,前锋,1
208,16,523,8,莱尔马,中场,1
209,16,524,3,桑切斯,后卫,1
210,16,525,14,博雷,前锋,1
211,16,526,6,卡多纳,中场,0
212,17,394,1,洛里,守门员,1
213,17,395,25,孔德,后卫,1
214,17,396,2,于帕梅卡诺,后卫,1
215,17,397,22,特奥,后卫,1
216,17,398,8,楚阿梅尼,中场,1
217,17,399,14,拉比奥特,中场,1
218,17,400,7,格列兹曼,前锋,1
219,17,401,10,姆巴佩,前锋,1
220,17,402,11,登贝莱,前锋,1
221,17,403,20,科曼,前锋,1
222,17,404,12,马库斯·图拉姆,前锋,1
223,17,405,16,迈尼昂,守门员,0
224,17,406,4,萨利巴,后卫,0
225,17,407,6,卡马文加,中场,0
226,18,124,1,布努,守门员,1
227,18,125,2,阿什拉夫,后卫,1
228,18,132,5,阿格尔德,后卫,1
229,18,127,6,赛斯,后卫,1
230,18,126,3,马兹拉维,后卫,1
231,18,128,4,阿姆拉巴特,中场,1
232,18,134,8,奥纳西,中场,1
233,18,129,7,齐耶赫,前锋,1
234,18,130,19,恩内斯里,前锋,1
235,18,131,17,鲍法尔,前锋,1
236,18,135,11,穆尼尔,前锋,1
237,18,136,13,埃尔哈米迪,后卫,0
238,18,137,20,哈默德,前锋,0
239,19,348,23,乌奈·西蒙,守门员,1
240,19,349,2,卡瓦哈尔,后卫,1
241,19,350,14,拉波尔特,后卫,1
242,19,351,4,纳乔,后卫,1
243,19,352,16,罗德里,中场,1
244,19,353,26,佩德里,中场,1
245,19,354,9,加维,中场,1
246,19,355,19,亚马尔,前锋,1
247,19,356,7,莫拉塔,前锋,1
248,19,357,11,费兰·托雷斯,前锋,1
249,19,358,21,奥亚萨瓦尔,前锋,1
250,19,359,3,库库雷利亚,后卫,0
251,19,360,8,梅里诺,中场,0
252,19,361,12,何塞卢,前锋,0
253,20,305,1,库尔图瓦,守门员,1
254,20,306,7,德布劳内,中场,1
255,20,307,9,卢卡库,前锋,1
256,20,308,11,多库,前锋,1
257,20,309,5,费尔通亨,后卫,1
258,20,310,2,阿尔德韦雷尔德,后卫,1
259,20,311,11,卡拉斯科,中场,1
260,20,312,8,蒂勒曼斯,中场,1
261,20,313,17,特罗萨德,前锋,1
262,20,314,19,奥蓬达,前锋,1
263,20,315,3,卡斯塔涅,后卫,1
264,20,316,6,奥纳纳,中场,0
265,20,317,12,卡明斯基,守门员,0
266,20,318,4,法斯,后卫,0
267,21,429,9,哈兰德,前锋,1
268,21,430,10,厄德高,中场,1
269,21,432,4,阿热,后卫,1
270,21,433,3,梅林,后卫,1
271,21,434,8,贝格,中场,1
272,21,435,11,埃尔尤努西,前锋,1
273,21,436,7,索尔洛特,前锋,1
274,21,437,6,奥斯内斯,中场,1
275,21,438,2,赖恩斯,后卫,1
276,21,431,1,索尔斯韦特,守门员,1
277,21,439,17,努萨,前锋,1
278,22,527,1,皮克福德,守门员,1
279,22,528,2,凯尔·沃克,后卫,1
280,22,529,5,马奎尔,后卫,1
281,22,530,4,斯通斯,后卫,1
282,22,531,41,赖斯,中场,1
283,22,532,10,贝林厄姆,中场,1
284,22,533,9,凯恩,前锋,1
285,22,534,7,萨卡,前锋,1
286,22,535,20,帕尔默,中场,1
287,22,536,11,福登,中场,1
288,22,537,17,格拉利什,前锋,1
289,22,538,66,阿诺德,后卫,0
290,22,539,3,卢克·肖,后卫,0
291,22,540,8,麦迪逊,中场,0
292,23,440,23,马丁内斯,守门员,1
293,23,441,26,莫利纳,后卫,1
