id,match_id,team_id,side,formation
1,89,5,home,3-4-3
2,89,10,away,4-3-3
3,90,14,home,4-4-2
4,90,33,away,4-3-3
5,91,9,home,4-3-3
6,91,36,away,4-3-3
7,92,1,home,4-3-3
8,92,45,away,4-3-3
9,93,41,home,4-3-3
10,93,29,away,4-3-3
11,94,13,home,4-3-3
12,94,25,away,3-4-3
13,95,37,home,4-3-3
14,95,26,away,4-3-3
15,96,8,home,4-2-3-1
16,96,44,away,4-3-3
17,97,33,home,4-3-3
18,97,10,away,4-3-3
19,98,29,home,4-3-3
20,98,25,away,3-4-3
21,99,36,home,4-3-3
22,99,45,away,4-3-3
23,100,37,home,4-3-3
24,100,8,away,4-2-3-1
25,101,33,home,4-3-3
26,101,29,away,4-3-3
27,102,45,home,4-3-3
28,102,37,away,4-3-3
29,103,33,home,4-3-3
30,103,45,away,4-3-3
31,104,29,home,4-3-3
32,104,37,away,4-3-3
