id,date,kickoff_time,stage,group,venue,home_team_id,away_team_id,home_score,away_score,home_penalty,away_penalty,summary
1,2026-06-12,03:00,group-1,A,墨西哥城体育场,1,2,2,0,,,墨西哥揭幕战力克南非
2,2026-06-12,10:00,group-1,A,瓜达拉哈拉体育场,3,4,2,1,,,韩国逆转捷克
3,2026-06-13,03:00,group-1,B,多伦多体育场,5,6,1,1,,,加拿大主场战平波黑
4,2026-06-13,09:00,group-1,D,洛杉矶体育场,13,14,4,1,,,美国大胜巴拉圭
5,2026-06-14,03:00,group-1,B,旧金山湾区体育场,7,8,1,1,,,卡塔尔逼平瑞士
6,2026-06-14,06:00,group-1,C,纽约/新泽西体育场,9,10,1,1,,,巴西摩洛哥握手言和
7,2026-06-14,09:00,group-1,C,波士顿体育场,11,12,0,1,,,苏格兰小胜海地
8,2026-06-14,12:00,group-1,D,温哥华不列颠哥伦比亚体育馆,15,16,2,0,,,澳大利亚完胜土耳其
9,2026-06-15,01:00,group-1,E,休斯顿体育场,17,18,7,1,,,德国血洗库拉索
10,2026-06-15,04:00,group-1,F,达拉斯体育场,21,22,2,2,,,荷兰日本上演对攻
11,2026-06-15,07:00,group-1,E,费城体育场,19,20,1,0,,,科特迪瓦小胜厄瓜多尔
12,2026-06-15,10:00,group-1,F,蒙特雷体育场,23,24,5,1,,,瑞典大胜突尼斯
13,2026-06-16,00:00,group-1,H,亚特兰大体育场,29,30,0,0,,,西班牙佛得角互交白卷
14,2026-06-16,03:00,group-1,G,西雅图体育场,25,26,1,1,,,比利时埃及战平
15,2026-06-16,06:00,group-1,H,迈阿密体育场,31,32,1,1,,,沙特逼平乌拉圭
16,2026-06-16,09:00,group-1,G,洛杉矶体育场,27,28,2,2,,,伊朗新西兰进球大战
17,2026-06-17,03:00,group-1,I,纽约/新泽西体育场,33,34,3,1,,,法国击败塞内加尔
18,2026-06-17,06:00,group-1,I,波士顿体育场,35,36,1,4,,,挪威大胜伊拉克
19,2026-06-17,09:00,group-1,J,堪萨斯城体育场,37,38,3,0,,,阿根廷轻取阿尔及利亚
20,2026-06-17,12:00,group-1,J,旧金山湾区体育场,39,40,3,1,,,奥地利击败约旦
21,2026-06-18,01:00,group-1,K,休斯顿体育场,41,42,1,1,,,葡萄牙战平刚果金
22,2026-06-18,04:00,group-1,L,达拉斯体育场,45,46,4,2,,,英格兰击败克罗地亚
23,2026-06-18,07:00,group-1,L,多伦多体育场,47,48,1,0,,,加纳小胜巴拿马
24,2026-06-18,10:00,group-1,K,墨西哥城体育场,43,44,1,3,,,哥伦比亚击败乌兹别克斯坦
25,2026-06-19,00:00,group-2,A,亚特兰大体育场,4,2,1,1,,,捷克南非战平
26,2026-06-19,03:00,group-2,B,洛杉矶体育场,8,6,4,1,,,瑞士大胜波黑
27,2026-06-19,06:00,group-2,B,温哥华不列颠哥伦比亚体育馆,5,7,6,0,,,加拿大血洗卡塔尔
28,2026-06-19,09:00,group-2,A,瓜达拉哈拉体育场,1,3,1,0,,,墨西哥小胜韩国
29,2026-06-20,03:00,group-2,D,西雅图体育场,13,15,2,0,,,美国击败澳大利亚
30,2026-06-20,06:00,group-2,C,波士顿体育场,12,10,0,1,,,摩洛哥小胜苏格兰
31,2026-06-20,08:30,group-2,C,费城体育场,9,11,3,0,,,巴西完胜海地
32,2026-06-20,11:00,group-2,D,旧金山湾区体育场,16,14,0,1,,,巴拉圭小胜土耳其
33,2026-06-21,01:00,group-2,F,休斯顿体育场,21,23,5,1,,,荷兰大胜瑞典
34,2026-06-21,04:00,group-2,E,多伦多体育场,17,19,2,1,,,德国击败科特迪瓦
35,2026-06-21,08:00,group-2,E,堪萨斯城体育场,20,18,0,0,,,厄瓜多尔库拉索战平
36,2026-06-21,12:00,group-2,F,蒙特雷体育场,24,22,0,4,,,日本大胜突尼斯
37,2026-06-22,00:00,group-2,H,亚特兰大体育场,29,31,4,0,,,西班牙血洗沙特
38,2026-06-22,03:00,group-2,G,洛杉矶体育场,25,27,0,0,,,比利时伊朗互交白卷
39,2026-06-22,06:00,group-2,H,迈阿密体育场,32,30,2,2,,,乌拉圭佛得角进球大战
40,2026-06-22,09:00,group-2,G,温哥华不列颠哥伦比亚体育馆,28,26,1,3,,,埃及击败新西兰
41,2026-06-23,01:00,group-2,J,达拉斯体育场,37,39,2,0,,,阿根廷击败奥地利
42,2026-06-23,05:00,group-2,I,费城体育场,33,35,3,0,,,法国完胜伊拉克
43,2026-06-23,08:00,group-2,I,纽约/新泽西体育场,36,34,3,2,,,挪威险胜塞内加尔
44,2026-06-23,11:00,group-2,J,旧金山湾区体育场,40,38,1,2,,,阿尔及利亚击败约旦
45,2026-06-24,01:00,group-2,K,休斯顿体育场,41,43,5,0,,,葡萄牙血洗乌兹别克斯坦
46,2026-06-24,04:00,group-2,L,波士顿体育场,45,47,0,0,,,英格兰加纳互交白卷
47,2026-06-24,07:00,group-2,L,多伦多体育场,48,46,0,1,,,克罗地亚小胜巴拿马
48,2026-06-24,10:00,group-2,K,瓜达拉哈拉体育场,44,42,1,0,,,哥伦比亚小胜刚果金
49,2026-06-25,03:00,group-3,B,西雅图体育场,6,7,3,1,,,波黑击败卡塔尔
50,2026-06-25,03:00,group-3,B,温哥华不列颠哥伦比亚体育馆,8,5,2,1,,,瑞士击败加拿大
51,2026-06-25,06:00,group-3,C,亚特兰大体育场,10,11,4,2,,,摩洛哥击败海地
52,2026-06-25,06:00,group-3,C,迈阿密体育场,12,9,0,3,,,巴西完胜苏格兰
53,2026-06-25,09:00,group-3,A,墨西哥城体育场,4,1,0,3,,,墨西哥大胜捷克
54,2026-06-25,09:00,group-3,A,蒙特雷体育场,2,3,1,0,,,南非小胜韩国
55,2026-06-26,04:00,group-3,E,纽约/新泽西体育场,20,17,2,1,,,厄瓜多尔爆冷击败德国
56,2026-06-26,04:00,group-3,E,费城体育场,18,19,0,2,,,科特迪瓦击败库拉索
57,2026-06-26,07:00,group-3,F,达拉斯体育场,22,23,1,1,,,日本瑞典战平
58,2026-06-26,07:00,group-3,F,堪萨斯城体育场,24,21,1,3,,,荷兰击败突尼斯
59,2026-06-26,10:00,group-3,D,旧金山湾区体育场,14,15,0,0,,,巴拉圭澳大利亚战平
60,2026-06-26,10:00,group-3,D,洛杉矶体育场,16,13,3,2,,,土耳其爆冷击败美国
61,2026-06-27,03:00,group-3,I,多伦多体育场,34,35,5,0,,,塞内加尔血洗伊拉克
62,2026-06-27,03:00,group-3,I,波士顿体育场,36,33,1,4,,,法国大胜挪威
