player_id,appearances,goals,assists,yellow_cards,red_cards,minutes_played
1,5,0,0,0,0,450
2,5,0,1,0,0,450
3,5,0,0,0,0,415
4,5,0,0,0,0,390
5,4,0,0,0,0,240
6,4,0,0,0,0,268
7,4,0,2,0,0,264
8,3,0,0,0,0,222
9,3,0,0,0,0,252
10,5,0,2,0,0,365
11,3,4,2,0,0,192
12,5,0,1,0,0,315
13,5,0,1,0,0,315
14,4,0,1,0,0,316
15,3,0,0,0,0,249
16,4,0,1,0,0,360
17,4,0,1,1,0,248
18,2,0,1,0,0,156
19,4,2,2,0,0,248
20,4,0,2,0,0,268
21,3,0,0,0,0,261
22,4,0,0,0,0,288
23,3,0,1,0,0,240
24,2,0,0,0,0,142
25,2,0,0,0,0,162
26,3,0,1,0,0,270
27,3,0,0,0,0,231
28,2,0,0,0,0,148
29,1,0,1,0,0,89
30,3,1,1,1,0,258
31,3,0,0,1,0,258
32,3,1,1,0,0,216
33,1,0,0,0,0,66
34,2,0,0,0,0,160
35,1,0,1,0,0,88
36,1,0,0,0,0,68
37,3,0,0,0,0,270
38,2,0,1,0,0,176
39,2,0,1,0,0,134
40,2,0,2,0,0,150
41,3,0,0,0,0,270
42,3,0,0,0,0,192
43,3,0,1,0,0,237
44,2,0,1,0,0,144
45,2,0,2,0,0,136
46,3,0,0,0,0,243
47,2,2,2,0,0,140
48,3,0,1,0,0,219
49,3,0,1,0,0,180
50,2,0,2,0,0,168
51,2,0,2,0,0,178
52,3,0,0,0,0,270
53,2,0,0,0,0,128
54,2,0,0,0,0,154
55,4,4,2,0,0,300
56,4,1,0,0,0,356
57,3,1,1,1,0,201
58,5,1,0,1,0,440
59,5,1,0,0,0,415
60,4,0,0,0,0,336
61,5,0,0,0,0,450
62,4,0,0,0,0,272
63,4,0,0,0,0,356
64,5,0,2,0,0,345
65,3,0,2,0,0,240
66,4,0,1,0,0,352
67,3,0,0,0,0,201
68,4,1,0,0,0,280
69,5,0,0,0,0,450
70,4,1,0,1,0,240
71,4,3,2,0,0,320
72,4,0,0,0,0,248
73,4,1,1,0,0,248
74,4,0,1,0,0,324
75,2,0,0,0,0,154
76,4,0,0,0,0,360
77,3,0,0,0,0,255
78,3,0,1,0,0,198
79,3,0,0,0,0,243
80,2,0,1,0,0,146
81,2,0,1,0,0,174
82,3,0,0,0,0,270
83,2,0,0,1,0,144
84,1,1,0,0,0,67
85,3,0,0,0,0,231
86,2,0,0,0,0,146
87,3,0,1,0,0,222
88,3,0,0,0,0,222
89,3,0,0,0,0,240
90,2,0,0,0,0,178
91,2,0,0,0,0,146
92,2,0,1,0,0,132
93,6,0,1,0,0,540
94,6,0,0,2,0,432
95,5,0,1,0,0,340
96,4,0,1,0,0,292
97,4,0,0,0,0,264
98,4,3,0,0,0,360
99,6,6,4,0,0,498
100,6,1,1,1,0,366
101,6,0,2,0,0,450
102,6,0,0,0,0,540
103,5,0,0,0,0,310
104,6,0,0,0,0,432
105,6,0,0,0,0,540
106,6,0,0,0,0,474
107,5,0,1,0,0,405
108,5,0,1,0,0,450
109,4,0,0,0,0,324
110,4,0,0,0,0,272
111,3,0,0,0,0,243
112,4,0,1,2,0,280
113,5,0,0,0,0,370
114,5,5,0,0,0,385
115,5,3,2,0,0,340
116,5,2,1,0,0,440
117,5,0,0,0,0,355
118,3,0,0,0,0,222
119,3,0,2,0,0,255
120,5,0,1,0,0,445
121,5,0,0,0,0,450
122,4,0,1,0,0,252
123,5,0,0,0,0,340
124,6,0,1,0,0,540
