id,team_id,name,nameEn,number,position,nationality,age,height,weight,marketValue,club
1,1,奥乔亚,Guillermo Ochoa,13,守门员,墨西哥,41,185,78,300万欧,萨勒尼塔纳
2,1,科塔,Luis Malagon,1,守门员,墨西哥,27,188,82,500万欧,内卡萨
3,1,蒙特斯,Cesar Montes,3,后卫,墨西哥,29,193,80,800万欧,西班牙人
4,1,阿尔瓦雷斯,Johan Vasquez,4,后卫,墨西哥,28,187,82,600万欧,克雷莫纳
5,1,阿劳霍,Jorge Sanchez,2,后卫,墨西哥,28,175,70,700万欧,波尔图
6,1,加利亚多,Gallardo,15,后卫,墨西哥,26,180,75,400万欧,美洲
7,1,埃雷拉,Hector Herrera,16,中场,墨西哥,36,182,78,400万欧,休斯顿迪纳摩
8,1,查韦斯,Luis Chavez,24,中场,墨西哥,30,178,75,600万欧,帕丘卡
9,1,皮内达,Orbelin Pineda,17,中场,墨西哥,30,169,65,800万欧,AEK雅典
10,1,安图尼亚,Uriel Antuna,8,中场,墨西哥,29,172,68,700万欧,蓝十字
11,1,洛萨诺,Hirving Lozano,22,前锋,墨西哥,31,175,70,1500万欧,埃因霍温
12,1,希门尼斯,Raul Jimenez,9,前锋,墨西哥,35,190,82,1000万欧,富勒姆
13,1,马丁,Santiago Gimenez,11,前锋,墨西哥,25,183,75,2000万欧,费耶诺德
14,1,巴斯克斯,Alexis Vega,10,前锋,墨西哥,28,173,70,500万欧,托卢卡
15,1,雷耶斯,Erick Sanchez,14,中场,墨西哥,27,175,68,400万欧,帕丘卡
16,2,威廉姆斯,Ronwen Williams,1,守门员,南非,34,187,80,300万欧,马梅洛迪日落
17,2,莫科伊纳,Teboho Mokoena,4,后卫,南非,29,185,78,400万欧,马梅洛迪日落
18,2,库内,Aubrey Modiba,13,后卫,南非,31,178,72,300万欧,马梅洛迪日落
19,2,福斯特,Lyle Foster,9,前锋,南非,26,188,80,500万欧,伯恩利
20,2,兹瓦内,Themba Zwane,10,中场,南非,36,168,65,200万欧,马梅洛迪日落
21,2,马梅洛迪,Percy Tau,11,前锋,南非,32,175,68,400万欧,阿尔阿赫利
22,2,莫科纳,Khuliso Mudau,2,后卫,南非,30,180,75,250万欧,马梅洛迪日落
23,2,恩库尼,Sphephelo Sithole,6,中场,南非,27,178,72,200万欧,马梅洛迪日落
24,2,拉马霍佩,Evidence Makgopa,21,前锋,南非,24,190,82,300万欧,奥兰多海盗
25,2,莫雷纳,Thapelo Maseko,14,中场,南非,25,175,68,250万欧,马梅洛迪日落
26,3,金承奎,Kim Seung-gyu,1,守门员,韩国,36,187,80,300万欧,利雅得青年
27,3,金玟哉,Kim Min-jae,3,后卫,韩国,30,190,88,6000万欧,拜仁慕尼黑
28,3,金英权,Kim Young-gwon,19,后卫,韩国,36,184,78,200万欧,蔚山现代
29,3,李在城,Lee Jae-sung,18,中场,韩国,34,180,75,500万欧,美因茨
30,3,孙兴慜,Son Heung-min,7,前锋,韩国,34,183,78,5000万欧,托特纳姆热刺
31,3,黄喜灿,Hwang Hee-chan,11,前锋,韩国,30,177,77,2000万欧,狼队
32,3,曹圭成,Cho Gue-sung,9,前锋,韩国,28,186,78,800万欧,中日德兰
33,3,李刚仁,Lee Kang-in,14,中场,韩国,25,173,68,3000万欧,巴黎圣日耳曼
34,3,郑优营,Jung Woo-young,5,中场,韩国,36,179,75,300万欧,利雅得胜利
35,3,黄义助,Hwang Ui-jo,16,前锋,韩国,34,184,75,500万欧,诺维奇
36,3,金珍洙,Kim Jin-su,23,后卫,韩国,34,176,73,300万欧,全北现代
37,3,赵贤祐,Jo Hyeon-woo,21,守门员,韩国,35,189,80,200万欧,蔚山现代
38,3,李在翊,Lee Jae-ik,4,后卫,韩国,26,188,80,400万欧,首尔FC
39,3,孙准浩,Son Jun-ho,6,中场,韩国,34,178,73,400万欧,全北现代
40,3,严源相,Um Won-sang,17,中场,韩国,26,172,65,500万欧,蔚山现代
41,4,瓦茨利克,Tomas Vaclik,1,守门员,捷克,37,189,85,300万欧,奥林匹亚科斯
42,4,曹法尔,Vladimir Coufal,2,后卫,捷克,34,175,73,500万欧,西汉姆联
43,4,库德拉,Ondrej Kudela,3,后卫,捷克,39,188,80,300万欧,布拉格斯拉维亚
44,4,博日尔,Jan Boril,19,后卫,捷克,35,182,78,300万欧,布拉格斯拉维亚
45,4,绍切克,Tomas Soucek,6,中场,捷克,31,192,86,3000万欧,西汉姆联
46,4,霍莱什,Tomas Holes,5,后卫,捷克,33,185,80,500万欧,布拉格斯拉维亚
47,4,希克,Patrik Schick,10,前锋,捷克,30,191,80,2500万欧,勒沃库森
48,4,克拉尔,Alex Kral,8,中场,捷克,28,186,78,800万欧,柏林联合
49,4,巴拉克,Antonin Barak,7,中场,捷克,32,185,80,1000万欧,佛罗伦萨
50,4,佩克哈特,Michael Krmencik,9,前锋,捷克,33,190,85,500万欧,布拉格斯拉维亚
51,4,普罗沃德,Lukas Provod,17,中场,捷克,30,180,75,600万欧,布拉格斯拉维亚
52,4,兹马,Stanek,16,守门员,捷克,30,192,85,200万欧,比尔森胜利
53,4,齐马,David Zima,4,后卫,捷克,25,188,80,700万欧,都灵
54,4,赫洛热克,Adam Hlozek,11,前锋,捷克,24,188,85,1500万欧,勒沃库森
55,5,阿方索·戴维斯,Alphonso Davies,19,后卫,加拿大,26,183,75,7000万欧,拜仁慕尼黑
56,5,戴维,Jonathan David,20,前锋,加拿大,26,180,75,5000万欧,里尔
57,5,布坎南,Tajon Buchanan,12,后卫,加拿大,27,183,75,1500万欧,国际米兰
58,5,欧斯塔基奥,Stephen Eustaquio,7,中场,加拿大,29,178,70,1500万欧,波尔图
59,5,科内,Ismael Kone,8,中场,加拿大,24,185,78,1000万欧,沃特福德
60,5,拉林,Cyle Larin,9,前锋,加拿大,31,188,88,800万欧,马略卡
61,5,维多利亚,Milan Borjan,1,守门员,加拿大,38,195,92,300万欧,贝尔格莱德红星
62,5,约翰斯顿,Alistair Johnston,2,后卫,加拿大,28,183,80,1000万欧,凯尔特人
63,5,米勒,Kamal Miller,4,后卫,加拿大,29,185,80,800万欧,波特兰伐木者
64,5,皮耶特,Samuel Piette,6,中场,加拿大,32,172,70,400万欧,蒙特利尔
65,5,哈钦森,Atiba Hutchinson,13,中场,加拿大,43,187,75,200万欧,贝西克塔斯
66,5,卡瓦利尼,Lucas Cavallini,11,前锋,加拿大,33,180,80,400万欧,蒂华纳
67,5,科尔多瓦,Tajon Buchanan,17,中场,加拿大,26,180,70,500万欧,温哥华白浪
68,5,米利亚,Jayde Riviere,22,后卫,加拿大,25,178,70,400万欧,曼联
69,5,史密斯,Killian Smith,23,守门员,加拿大,26,190,85,200万欧,温哥华白浪
70,6,皮亚尼奇,Miralem Pjanic,10,中场,波黑,36,180,75,500万欧,沙迦
71,6,德米罗维奇,Ermedin Demirovic,9,前锋,波黑,28,188,85,1500万欧,斯图加特
72,6,科瓦契奇,Mateo Kovacic,8,中场,波黑,32,178,78,4000万欧,曼城
73,6,哲科,Edin Dzeko,11,前锋,波黑,40,193,85,500万欧,费内巴切
74,6,克鲁尼奇,Rade Krunic,7,中场,波黑,32,178,75,800万欧,AC米兰
75,6,科拉希纳茨,Sead Kolasinac,23,后卫,波黑,33,183,85,800万欧,亚特兰大
76,6,舍希奇,Ibrahim Sehic,1,守门员,波黑,37,190,85,300万欧,科尼亚体育
77,6,艾哈迈多霍吉奇,Anel Ahmedhodzic,3,后卫,波黑,27,190,85,1000万欧,谢菲尔德联
78,6,德迪奇,Amir Hadziahmetovic,5,中场,波黑,30,182,75,500万欧,哥本哈根
79,6,巴伊拉米,Edin Visca,17,中场,波黑,35,172,65,400万欧,伊斯坦布尔
80,6,普雷夫利亚克,Miroslav Stevanovic,14,中场,波黑,35,175,70,300万欧,塞尔维特
81,6,戈亚克,Amer Gojak,15,中场,波黑,29,178,72,600万欧,萨格勒布迪纳摩
82,7,萨德·谢布,Saad Al-Sheeb,1,守门员,卡塔尔,36,188,80,200万欧,萨德
83,7,布迪亚夫,Karim Boudiaf,12,中场,卡塔尔,36,185,80,300万欧,杜海勒
84,7,阿里,Almoez Ali,19,前锋,卡塔尔,30,180,75,500万欧,杜海勒
85,7,阿菲夫,Akram Afif,11,前锋,卡塔尔,30,172,65,800万欧,萨德
86,7,海多斯,Hassan Al-Haydos,10,中场,卡塔尔,36,170,65,300万欧,萨德
87,7,哈特姆,Hatem Abdelrahman,6,中场,卡塔尔,33,175,70,300万欧,杜海勒
88,7,米格尔,Miguel,2,后卫,卡塔尔,35,175,70,300万欧,萨德
89,7,哈桑,Hassan Al-Haydos,3,后卫,卡塔尔,32,180,75,300万欧,萨德
90,7,马迪博,Karim Boudiaf,23,中场,卡塔尔,30,180,75,400万欧,杜海勒
91,7,伊斯梅尔,Mohammed Muntari,13,前锋,卡塔尔,32,190,85,300万欧,杜海勒
92,7,瓦德,Abdullah Al-Ahrak,8,中场,卡塔尔,28,178,70,300万欧,萨德
93,8,索默,Yann Sommer,1,守门员,瑞士,37,183,78,800万欧,国际米兰
94,8,阿坎吉,Manuel Akanji,5,后卫,瑞士,31,188,88,4000万欧,曼城
95,8,埃尔维迪,Nico Elvedi,22,后卫,瑞士,29,188,85,1500万欧,门兴格拉德巴赫
96,8,里卡多·罗德里格斯,Ricardo Rodriguez,13,后卫,瑞士,34,180,78,800万欧,都灵
97,8,扎卡,Granit Xhaka,34,中场,瑞士,34,185,82,3000万欧,勒沃库森
98,8,沙奇里,Xherdan Shaqiri,23,中场,瑞士,35,169,72,1000万欧,芝加哥火焰
99,8,恩博洛,Breel Embolo,7,前锋,瑞士,29,187,84,2000万欧,摩纳哥
100,8,巴尔加斯,Ruben Vargas,11,前锋,瑞士,27,179,75,1500万欧,奥格斯堡
101,8,弗罗伊勒,Remo Freuler,6,中场,瑞士,34,181,75,1000万欧,博洛尼亚
102,8,扎卡里亚,Denis Zakaria,8,中场,瑞士,29,191,80,1500万欧,摩纳哥
103,8,奥卡福尔,Noah Okafor,17,前锋,瑞士,26,185,82,1500万欧,AC米兰
104,8,姆巴布,Kevin Mbabu,2,后卫,瑞士,31,184,80,500万欧,富勒姆
105,8,科贝尔,Gregor Kobel,21,守门员,瑞士,28,194,88,2000万欧,多特蒙德
106,8,威德默,Silvan Widmer,3,后卫,瑞士,33,183,78,500万欧,美因茨
107,8,法斯纳赫特,Christian Fassnacht,16,中场,瑞士,32,185,80,500万欧,利兹联
108,9,阿利松,Alisson,1,守门员,巴西,34,191,91,5000万欧,利物浦
109,9,马尔基尼奥斯,Marquinhos,4,后卫,巴西,32,183,75,5000万欧,巴黎圣日耳曼
110,9,蒂亚戈·席尔瓦,Thiago Silva,3,后卫,巴西,42,183,79,2000万欧,切尔西
111,9,米利唐,Eder Militao,14,后卫,巴西,28,186,78,4000万欧,皇家马德里
112,9,卡塞米罗,Casemiro,5,中场,巴西,34,185,84,3000万欧,曼联
113,9,恩佐·费尔南德斯,Enzo Fernandez,8,中场,巴西,25,178,75,8000万欧,切尔西
114,9,维尼修斯,Vinicius Junior,7,前锋,巴西,26,176,73,1.8亿欧,皇家马德里
115,9,罗德里戈,Rodrygo,10,前锋,巴西,25,174,64,8000万欧,皇家马德里
116,9,拉菲尼亚,Raphinha,11,前锋,巴西,29,176,71,6000万欧,巴塞罗那
117,9,理查利森,Richarlison,9,前锋,巴西,29,184,81,4000万欧,托特纳姆热刺
118,9,帕奎塔,Lucas Paqueta,17,中场,巴西,29,180,75,4000万欧,西汉姆联
119,9,吉马良斯,Bruno Guimaraes,15,中场,巴西,28,182,78,6000万欧,纽卡斯尔
120,9,达尼洛,Danilo,2,后卫,巴西,35,184,78,1500万欧,尤文图斯
121,9,埃德森,Ederson,23,守门员,巴西,32,188,86,4000万欧,曼城
122,9,马丁内利,Gabriel Martinelli,22,前锋,巴西,25,178,73,6000万欧,阿森纳
123,9,加布里埃尔,Gabriel Magalhaes,6,后卫,巴西,28,190,87,5000万欧,阿森纳
124,10,布努,Yassine Bounou,1,守门员,摩洛哥,35,195,78,1500万欧,利雅得新月
125,10,阿什拉夫,Achraf Hakimi,2,后卫,摩洛哥,28,181,73,6000万欧,巴黎圣日耳曼
126,10,马兹拉维,Noussair Mazraoui,3,后卫,摩洛哥,29,183,73,2000万欧,拜仁慕尼黑
127,10,赛斯,Romain Saiss,6,后卫,摩洛哥,36,189,85,500万欧,利雅得体育
128,10,阿姆拉巴特,Sofyan Amrabat,4,中场,摩洛哥,30,183,78,1500万欧,佛罗伦萨
129,10,齐耶赫,Hakim Ziyech,7,前锋,摩洛哥,33,180,65,2000万欧,加拉塔萨雷
130,10,恩内斯里,Youssef En-Nesyri,19,前锋,摩洛哥,29,189,78,2500万欧,塞维利亚
131,10,鲍法尔,Sofiane Boufal,17,中场,摩洛哥,33,175,70,800万欧,赖扬
132,10,阿格尔德,Nayef Aguerd,5,后卫,摩洛哥,30,188,78,2000万欧,西汉姆联
133,10,奥纳西,Azzedine Ounahi,8,中场,摩洛哥,26,182,70,2000万欧,马赛
134,10,阿布赫拉尔,Zakaria Aboukhlal,14,前锋,摩洛哥,26,178,75,1500万欧,图卢兹
135,10,哈默德,Abderrazak Hamdallah,20,前锋,摩洛哥,35,182,75,500万欧,吉达联合
136,10,埃尔哈米迪,Badr Benoun,13,后卫,摩洛哥,32,193,85,500万欧,卡塔尔体育
137,10,穆尼尔,Munir El Haddadi,11,前锋,摩洛哥,30,173,68,800万欧,马拉加
138,11,皮埃罗,Frantzdy Pierrot,9,前锋,海地,30,193,88,500万欧,海法马卡比
139,11,恩佐,Enzo,10,中场,海地,28,178,75,300万欧,斯特拉斯堡
140,11,圣朱斯特,Shanyder St Juste,3,后卫,海地,28,185,80,300万欧,海法马卡比
141,11,约瑟夫,Roberto Louima,1,守门员,海地,29,188,85,200万欧,海地俱乐部
142,11,马丁内斯,Wilde-Donald Guerrier,15,中场,海地,37,178,75,200万欧,海地俱乐部
143,11,巴蒂斯塔,Steeven Saba,8,中场,海地,33,175,70,200万欧,海地俱乐部
144,11,普利尼克斯,Peterson Joseph,6,中场,海地,35,180,75,200万欧,海地俱乐部
145,11,热罗姆,Jerome Mechac,4,后卫,海地,30,183,78,200万欧,海地俱乐部
146,12,罗伯逊,Andrew Robertson,26,后卫,苏格兰,32,178,68,3000万欧,利物浦
147,12,麦克托米奈,Scott McTominay,4,中场,苏格兰,29,193,88,3000万欧,曼联
148,12,吉尔摩,Billy Gilmour,11,中场,苏格兰,25,170,65,1500万欧,布莱顿
149,12,戴克斯,Lyndon Dykes,9,前锋,苏格兰,30,188,85,800万欧,女王公园巡游者
150,12,戈登,Craig Gordon,1,守门员,苏格兰,43,193,83,300万欧,哈茨
151,12,麦金,John McGinn,7,中场,苏格兰,31,178,75,2000万欧,阿斯顿维拉
152,12,帕特森,Nathan Patterson,2,后卫,苏格兰,25,180,75,1000万欧,埃弗顿
