id,match_id,minute,type,description,player_id,player_name,team_side
1,1,"9",goal,"Julián Quiñones 进球",,"Julián Quiñones",home
2,1,"67",goal,"Raúl Jiménez 进球",,"Raúl Jiménez",home
3,2,"67",goal,"Hwang In-Beom 进球",,"Hwang In-Beom",home
4,2,"80",goal,"Oh Hyeon-Gyu 进球",,"Oh Hyeon-Gyu",home
5,2,"59",goal,"Ladislav Krejcí 进球",,"Ladislav Krejcí",away
6,3,"78",goal,"Cyle Larin 进球",,"Cyle Larin",home
7,3,"21",goal,"Jovo Lukić 进球",,"Jovo Lukić",away
8,4,"7",goal,"Damian Bobadilla 进球",,"Damian Bobadilla",home
9,4,"31",goal,"Folarin Balogun 进球",,"Folarin Balogun",home
10,4,"45+5",goal,"Folarin Balogun 进球",,"Folarin Balogun",home
11,4,"90+8",goal,"Giovanni Reyna 进球",,"Giovanni Reyna",home
12,4,"73",goal,"Mauricio 进球",,"Mauricio",away
13,5,"90+4",goal,"Miro Muheim 进球",,"Miro Muheim",home
14,5,"17",goal,"Breel Embolo 点球破门",,"Breel Embolo",away
15,6,"32",goal,"Vinícius Júnior 进球",,"Vinícius Júnior",home
16,6,"21",goal,"Ismael Saibari 进球",,"Ismael Saibari",away
17,7,"28",goal,"John McGinn 进球",,"John McGinn",away
18,8,"27",goal,"Nestory Irankunda 进球",,"Nestory Irankunda",home
19,8,"75",goal,"Connor Metcalfe 进球",,"Connor Metcalfe",home
20,9,"6",goal,"Felix Nmecha 进球",,"Felix Nmecha",home
21,9,"38",goal,"Nico Schlotterbeck 进球",,"Nico Schlotterbeck",home
22,9,"45+5",goal,"Kai Havertz 点球破门",,"Kai Havertz",home
23,9,"88",goal,"Kai Havertz 进球",,"Kai Havertz",home
24,9,"47",goal,"Jamal Musiala 进球",,"Jamal Musiala",home
25,9,"68",goal,"Nathaniel Brown 进球",,"Nathaniel Brown",home
26,9,"78",goal,"Deniz Undav 进球",,"Deniz Undav",home
27,9,"21",goal,"Livano Comenencia 进球",,"Livano Comenencia",away
28,10,"51",goal,"Virgil van Dijk 进球",,"Virgil van Dijk",home
29,10,"64",goal,"Crysencio Summerville 进球",,"Crysencio Summerville",home
30,10,"57",goal,"Keito Nakamura 进球",,"Keito Nakamura",away
31,10,"88",goal,"Daichi Kamada 进球",,"Daichi Kamada",away
32,11,"90",goal,"Amad Diallo 进球",,"Amad Diallo",home
33,12,"7",goal,"Yasin Ayari 进球",,"Yasin Ayari",home
34,12,"90+6",goal,"Yasin Ayari 进球",,"Yasin Ayari",home
35,12,"30",goal,"Alexander Isak 进球",,"Alexander Isak",home
36,12,"59",goal,"Viktor Gyökeres 进球",,"Viktor Gyökeres",home
37,12,"84",goal,"Mattias Svanberg 进球",,"Mattias Svanberg",home
38,12,"43",goal,"Omar Rekik 进球",,"Omar Rekik",away
39,14,"66",goal,"Mohamed Hany 进球",,"Mohamed Hany",home
40,14,"19",goal,"Emam Ashour 进球",,"Emam Ashour",away
41,15,"41",goal,"Abdulelah Al-Amri 进球",,"Abdulelah Al-Amri",home
42,15,"80",goal,"Maxi Araújo 进球",,"Maxi Araújo",away
43,16,"32",goal,"Ramin Rezaeian 进球",,"Ramin Rezaeian",home
44,16,"64",goal,"Mohammad Mohebbi 进球",,"Mohammad Mohebbi",home
45,16,"7",goal,"Elijah Just 进球",,"Elijah Just",away
46,16,"54",goal,"Elijah Just 进球",,"Elijah Just",away
47,17,"66",goal,"Kylian Mbappé 进球",,"Kylian Mbappé",home
48,17,"90+6",goal,"Kylian Mbappé 进球",,"Kylian Mbappé",home
49,17,"82",goal,"Bradley Barcola 进球",,"Bradley Barcola",home
50,17,"90+5",goal,"Ibrahim Mbaye 进球",,"Ibrahim Mbaye",away
51,18,"39",goal,"Aymen Hussein 进球",,"Aymen Hussein",home
52,18,"29",goal,"Erling Haaland 进球",,"Erling Haaland",away
53,18,"43",goal,"Erling Haaland 进球",,"Erling Haaland",away
54,18,"76",goal,"Leo Østigard 进球",,"Leo Østigard",away
55,18,"90+6",goal,"Aymen Hussein 乌龙球",,"Aymen Hussein",away
56,19,"17",goal,"Lionel Messi 进球",,"Lionel Messi",home
57,19,"60",goal,"Lionel Messi 进球",,"Lionel Messi",home
58,19,"76",goal,"Lionel Messi 进球",,"Lionel Messi",home
59,20,"21",goal,"Romano Schmid 进球",,"Romano Schmid",home
60,20,"76",goal,"Yazan Al-Arab 进球",,"Yazan Al-Arab",home
61,20,"90+12",goal,"Marko Arnautovic 点球破门",,"Marko Arnautovic",home
62,20,"50",goal,"Ali Olwan 进球",,"Ali Olwan",away
63,21,"6",goal,"João Neves 进球",,"João Neves",home
64,21,"45+5",goal,"Yoane Wissa 进球",,"Yoane Wissa",away
65,22,"12",goal,"Harry Kane 点球破门",,"Harry Kane",home
66,22,"42",goal,"Harry Kane 进球",,"Harry Kane",home
67,22,"47",goal,"Jude Bellingham 进球",,"Jude Bellingham",home
68,22,"85",goal,"Marcus Rashford 进球",,"Marcus Rashford",home
69,22,"36",goal,"Martin Baturina 进球",,"Martin Baturina",away
70,22,"45+5",goal,"Petar Musa 进球",,"Petar Musa",away
71,23,"90+5",goal,"Caleb Yirenkyi 进球",,"Caleb Yirenkyi",home
72,24,"60",goal,"Abbosbek Fayzullaev 进球",,"Abbosbek Fayzullaev",home
73,24,"40",goal,"Daniel Muñoz 进球",,"Daniel Muñoz",away
74,24,"65",goal,"Luis Díaz 进球",,"Luis Díaz",away
75,24,"90+9",goal,"Jáminton Campaz 进球",,"Jáminton Campaz",away
76,25,"6",goal,"Michal Sadílek 进球",,"Michal Sadílek",home
77,25,"83",goal,"Teboho Mokoena 点球破门",,"Teboho Mokoena",away
