id,date,kickoff_time,stage,group,venue,home_team_id,away_team_id,home_score,away_score,home_penalty,away_penalty,summary
1,2026-06-11,"13:00 UTC-6",group-1,A,"Mexico City",1,2,2,0,null,null,""
2,2026-06-11,"20:00 UTC-6",group-1,A,"Guadalajara (Zapopan)",3,4,2,1,null,null,""
3,2026-06-12,"15:00 UTC-4",group-1,B,"Toronto",5,6,1,1,null,null,""
4,2026-06-12,"18:00 UTC-7",group-1,D,"Los Angeles (Inglewood)",13,14,4,1,null,null,""
5,2026-06-13,"12:00 UTC-7",group-1,B,"San Francisco Bay Area (Santa Clara)",7,8,1,1,null,null,""
6,2026-06-13,"18:00 UTC-4",group-1,C,"New York/New Jersey (East Rutherford)",9,10,1,1,null,null,""
7,2026-06-13,"21:00 UTC-4",group-1,C,"Boston (Foxborough)",11,12,0,1,null,null,""
8,2026-06-13,"21:00 UTC-7",group-1,D,"Vancouver",15,16,2,0,null,null,""
9,2026-06-14,"12:00 UTC-5",group-1,E,"Houston",17,18,7,1,null,null,""
10,2026-06-14,"15:00 UTC-5",group-1,F,"Dallas (Arlington)",21,22,2,2,null,null,""
11,2026-06-14,"19:00 UTC-4",group-1,E,"Philadelphia",19,20,1,0,null,null,""
12,2026-06-14,"20:00 UTC-6",group-1,F,"Monterrey (Guadalupe)",23,24,5,1,null,null,""
13,2026-06-15,"12:00 UTC-4",group-1,H,"Atlanta",29,30,0,0,null,null,""
14,2026-06-15,"12:00 UTC-7",group-1,G,"Seattle",25,26,1,1,null,null,""
15,2026-06-15,"18:00 UTC-4",group-1,H,"Miami (Miami Gardens)",31,32,1,1,null,null,""
16,2026-06-15,"18:00 UTC-7",group-1,G,"Los Angeles (Inglewood)",27,28,2,2,null,null,""
17,2026-06-16,"15:00 UTC-4",group-1,I,"New York/New Jersey (East Rutherford)",33,34,3,1,null,null,""
18,2026-06-16,"18:00 UTC-4",group-1,I,"Boston (Foxborough)",35,36,1,4,null,null,""
19,2026-06-16,"20:00 UTC-5",group-1,J,"Kansas City",37,38,3,0,null,null,""
20,2026-06-16,"21:00 UTC-7",group-1,J,"San Francisco Bay Area (Santa Clara)",39,40,3,1,null,null,""
21,2026-06-17,"12:00 UTC-5",group-1,K,"Houston",41,42,1,1,null,null,""
22,2026-06-17,"15:00 UTC-5",group-1,L,"Dallas (Arlington)",45,46,4,2,null,null,""
23,2026-06-17,"19:00 UTC-4",group-1,L,"Toronto",47,48,1,0,null,null,""
24,2026-06-17,"20:00 UTC-6",group-1,K,"Mexico City",43,44,1,3,null,null,""
25,2026-06-18,"12:00 UTC-4",group-2,A,"Atlanta",4,2,1,1,null,null,""
26,2026-06-18,"12:00 UTC-7",group-2,B,"Los Angeles (Inglewood)",8,6,4,1,null,null,""
27,2026-06-18,"15:00 UTC-7",group-2,B,"Vancouver",5,7,6,0,null,null,""
28,2026-06-18,"19:00 UTC-6",group-2,A,"Guadalajara (Zapopan)",1,3,1,0,null,null,""
29,2026-06-19,"12:00 UTC-7",group-2,D,"Seattle",13,15,2,0,null,null,""
30,2026-06-19,"18:00 UTC-4",group-2,C,"Boston (Foxborough)",12,10,0,1,null,null,""
31,2026-06-19,"20:00 UTC-7",group-2,D,"San Francisco Bay Area (Santa Clara)",16,14,0,1,null,null,""
32,2026-06-19,"20:30 UTC-4",group-2,C,"Philadelphia",9,11,3,0,null,null,""
33,2026-06-20,"12:00 UTC-5",group-2,F,"Houston",21,23,5,1,null,null,""
34,2026-06-20,"16:00 UTC-4",group-2,E,"Toronto",17,19,2,1,null,null,""
35,2026-06-20,"19:00 UTC-5",group-2,E,"Kansas City",20,18,0,0,null,null,""
36,2026-06-20,"22:00 UTC-6",group-2,F,"Monterrey (Guadalupe)",24,22,0,4,null,null,""
37,2026-06-21,"12:00 UTC-4",group-2,H,"Atlanta",29,31,4,0,null,null,""
38,2026-06-21,"12:00 UTC-7",group-2,G,"Los Angeles (Inglewood)",25,27,0,0,null,null,""
39,2026-06-21,"18:00 UTC-4",group-2,H,"Miami (Miami Gardens)",32,30,2,2,null,null,""
40,2026-06-21,"18:00 UTC-7",group-2,G,"Vancouver",28,26,1,3,null,null,""
41,2026-06-22,"12:00 UTC-5",group-2,J,"Dallas (Arlington)",37,39,2,0,null,null,""
42,2026-06-22,"17:00 UTC-4",group-2,I,"Philadelphia",33,35,3,0,null,null,""
43,2026-06-22,"20:00 UTC-4",group-2,I,"New York/New Jersey (East Rutherford)",36,34,3,2,null,null,""
44,2026-06-22,"20:00 UTC-7",group-2,J,"San Francisco Bay Area (Santa Clara)",40,38,1,2,null,null,""
45,2026-06-23,"12:00 UTC-5",group-2,K,"Houston",41,43,5,0,null,null,""
46,2026-06-23,"16:00 UTC-4",group-2,L,"Boston (Foxborough)",45,47,0,0,null,null,""
47,2026-06-23,"19:00 UTC-4",group-2,L,"Toronto",48,46,0,1,null,null,""
48,2026-06-23,"20:00 UTC-6",group-2,K,"Guadalajara (Zapopan)",44,42,1,0,null,null,""
49,2026-06-24,"12:00 UTC-7",group-2,B,"Vancouver",8,5,2,1,null,null,""
50,2026-06-24,"12:00 UTC-7",group-2,B,"Seattle",6,7,3,1,null,null,""
51,2026-06-24,"18:00 UTC-4",group-2,C,"Miami (Miami Gardens)",12,9,0,3,null,null,""
52,2026-06-24,"18:00 UTC-4",group-2,C,"Atlanta",10,11,4,2,null,null,""
53,2026-06-24,"19:00 UTC-6",group-2,A,"Mexico City",4,1,0,3,null,null,""
54,2026-06-24,"19:00 UTC-6",group-2,A,"Monterrey (Guadalupe)",2,3,1,0,null,null,""
55,2026-06-25,"16:00 UTC-4",group-3,E,"Philadelphia",18,19,0,2,null,null,""
56,2026-06-25,"16:00 UTC-4",group-3,E,"New York/New Jersey (East Rutherford)",20,17,2,1,null,null,""
57,2026-06-25,"18:00 UTC-5",group-3,F,"Dallas (Arlington)",22,23,1,1,null,null,""
58,2026-06-25,"18:00 UTC-5",group-3,F,"Kansas City",24,21,1,3,null,null,""
59,2026-06-25,"19:00 UTC-7",group-3,D,"Los Angeles (Inglewood)",16,13,3,2,null,null,""
60,2026-06-25,"19:00 UTC-7",group-3,D,"San Francisco Bay Area (Santa Clara)",14,15,0,0,null,null,""
61,2026-06-26,"15:00 UTC-4",group-3,I,"Boston (Foxborough)",36,33,1,4,null,null,""
62,2026-06-26,"15:00 UTC-4",group-3,I,"Toronto",34,35,5,0,null,null,""
63,2026-06-26,"18:00 UTC-6",group-3,H,"Guadalajara (Zapopan)",32,29,0,1,null,null,""
64,2026-06-26,"19:00 UTC-5",group-3,H,"Houston",30,31,0,0,null,null,""
65,2026-06-26,"20:00 UTC-7",group-3,G,"Seattle",26,27,1,1,null,null,""
66,2026-06-26,"20:00 UTC-7",group-3,G,"Vancouver",28,25,1,5,null,null,""
67,2026-06-27,"17:00 UTC-4",group-3,L,"New York/New Jersey (East Rutherford)",48,45,0,2,null,null,""
68,2026-06-27,"17:00 UTC-4",group-3,L,"Philadelphia",46,47,2,1,null,null,""
69,2026-06-27,"19:30 UTC-4",group-3,K,"Miami (Miami Gardens)",44,41,0,0,null,null,""
70,2026-06-27,"19:30 UTC-4",group-3,K,"Atlanta",42,43,3,1,null,null,""
71,2026-06-27,"21:00 UTC-5",group-3,J,"Kansas City",38,39,3,3,null,null,""
72,2026-06-27,"21:00 UTC-5",group-3,J,"Dallas (Arlington)",40,37,1,3,null,null,""
73,2026-06-28,"12:00 UTC-7",round-of-32,A,"Los Angeles (Inglewood)",2,5,0,1,null,null,""
74,2026-06-29,"12:00 UTC-5",round-of-32,C,"Houston",9,22,2,1,null,null,""
75,2026-06-29,"16:30 UTC-4",round-of-32,E,"Boston (Foxborough)",17,14,1,1,3,4,""
76,2026-06-29,"19:00 UTC-6",round-of-32,F,"Monterrey (Guadalupe)",21,10,1,1,2,3,""
77,2026-06-30,"12:00 UTC-5",round-of-32,E,"Dallas (Arlington)",19,36,1,2,null,null,""
78,2026-06-30,"17:00 UTC-4",round-of-32,I,"New York/New Jersey (East Rutherford)",33,23,3,0,null,null,""
79,2026-06-30,"19:00 UTC-6",round-of-32,A,"Mexico City",1,20,2,0,null,null,""
80,2026-07-01,"12:00 UTC-4",round-of-32,L,"Atlanta",45,42,2,1,null,null,""
81,2026-07-01,"13:00 UTC-7",round-of-32,G,"Seattle",25,34,3,2,null,null,""
82,2026-07-01,"17:00 UTC-7",round-of-32,D,"San Francisco Bay Area (Santa Clara)",13,6,2,0,null,null,""
83,2026-07-02,"12:00 UTC-7",round-of-32,H,"Los Angeles (Inglewood)",29,39,3,0,null,null,""
84,2026-07-02,"19:00 UTC-4",round-of-32,K,"Toronto",41,46,2,1,null,null,""
85,2026-07-02,"20:00 UTC-7",round-of-32,B,"Vancouver",8,38,2,0,null,null,""
86,2026-07-03,"13:00 UTC-5",round-of-32,D,"Dallas (Arlington)",15,26,1,1,2,4,""
87,2026-07-03,"18:00 UTC-4",round-of-32,J,"Miami (Miami Gardens)",37,30,3,2,null,null,""
88,2026-07-03,"20:30 UTC-5",round-of-32,K,"Kansas City",44,47,1,0,null,null,""
89,2026-07-04,"12:00 UTC-5",round-of-16,B,"Houston",5,10,0,3,null,null,""
90,2026-07-04,"17:00 UTC-4",round-of-16,D,"Philadelphia",14,33,0,1,null,null,""
