id,team_id,name,nameEn,number,position,nationality,age,height,weight,marketValue,club
1,4,"Matěj Kovář",,1,守门员,,,,2000-05-17,,,"PSV Eindhoven"
2,4,"David Zima",,2,后卫,,,,2000-11-08,,,"SK Slavia Praha"
3,4,"Tomáš Holeš",,3,后卫,,,,1993-03-31,,,"SK Slavia Praha"
4,4,"Robin Hranáč",,4,后卫,,,,2000-01-29,,,"TSG Hoffenheim"
5,4,"Vladimír Coufal",,5,后卫,,,,1992-08-22,,,"TSG Hoffenheim"
6,4,"Štěpán Chaloupek",,6,后卫,,,,2003-03-08,,,"SK Slavia Praha"
7,4,"Ladislav Krejčí",,7,后卫,,,,1999-04-20,,,"Wolverhampton Wanderers FC"
8,4,"Vladimír Darida",,8,中场,,,,1990-08-08,,,"FC Hradec Králové"
9,4,"Adam Hložek",,9,前锋,,,,2002-07-25,,,"TSG Hoffenheim"
10,4,"Patrik Schick",,10,前锋,,,,1996-01-24,,,"Bayer 04 Leverkusen"
11,4,"Jan Kuchta",,11,前锋,,,,1997-01-08,,,"AC Sparta Praha"
12,4,"Lukáš Červ",,12,中场,,,,2001-04-10,,,"FC Viktoria Plzeň"
13,4,"Mojmír Chytil",,13,前锋,,,,1999-04-29,,,"SK Slavia Praha"
14,4,"David Jurásek",,14,后卫,,,,2000-08-07,,,"SK Slavia Praha"
15,4,"Pavel Šulc",,15,前锋,,,,2000-12-29,,,"Olympique Lyonnais"
16,4,"Jindřich Staněk",,16,守门员,,,,1996-04-27,,,"SK Slavia Praha"
17,4,"Lukáš Provod",,17,中场,,,,1996-10-23,,,"SK Slavia Praha"
18,4,"Michal Sadílek",,18,中场,,,,1999-05-31,,,"SK Slavia Praha"
19,4,"Tomáš Chorý",,19,前锋,,,,1995-01-26,,,"SK Slavia Praha"
20,4,"Jaroslav Zelený",,20,后卫,,,,1992-08-20,,,"AC Sparta Praha"
21,4,"David Douděra",,21,后卫,,,,1998-05-31,,,"SK Slavia Praha"
22,4,"Tomáš Souček",,22,中场,,,,1995-02-27,,,"West Ham United FC"
23,4,"Lukáš Horníček",,23,守门员,,,,2002-07-13,,,"SC Braga"
24,4,"Alexandr Sojka",,24,中场,,,,2003-04-02,,,"FC Viktoria Plzeň"
25,4,"Hugo Sochůrek",,25,中场,,,,2008-06-07,,,"AC Sparta Praha"
26,4,"Denis Višinský",,26,前锋,,,,2003-03-21,,,"FC Viktoria Plzeň"
27,1,"Raúl Rangel",,1,守门员,,,,2000-02-25,,,"CD Guadalajara"
28,1,"Jorge Sánchez",,2,后卫,,,,1997-12-10,,,"PAOK Saloniki"
29,1,"César Montes",,3,后卫,,,,1997-02-24,,,"FC Lokomotiv Moscow"
30,1,"Edson Álvarez",,4,后卫,,,,1997-10-24,,,"Fenerbahçe SK"
31,1,"Johan Vásquez",,5,后卫,,,,1998-10-22,,,"Genoa CFC"
32,1,"Érik Lira",,6,中场,,,,2000-05-08,,,"CF Cruz Azul"
33,1,"Luis Romo",,7,中场,,,,1995-06-05,,,"CD Guadalajara"
34,1,"Álvaro Fidalgo",,8,中场,,,,1997-04-09,,,"Real Betis"
35,1,"Raúl Jiménez",,9,前锋,,,,1991-05-05,,,"Fulham FC"
36,1,"Alexis Vega",,10,前锋,,,,1997-11-25,,,"Deportivo Toluca FC"
37,1,"Santiago Giménez",,11,前锋,,,,2001-04-18,,,"AC Milan"
38,1,"Carlos Acevedo",,12,守门员,,,,1996-04-19,,,"Club Santos Laguna"
39,1,"Guillermo Ochoa",,13,守门员,,,,1985-07-13,,,"AEL Limassol"
40,1,"Armando González",,14,前锋,,,,2003-04-20,,,"CD Guadalajara"
41,1,"Israel Reyes",,15,后卫,,,,2000-05-23,,,"Club América"
42,1,"Julián Quiñones",,16,前锋,,,,1997-03-24,,,"Al Qadsiah FC"
43,1,"Orbelín Pineda",,17,中场,,,,1996-03-24,,,"AEK Athens"
44,1,"Obed Vargas",,18,中场,,,,2005-08-05,,,"Atlético De Madrid"
45,1,"Gilberto Mora",,19,中场,,,,2008-10-14,,,"Club Tijuana"
46,1,"Mateo Chávez",,20,后卫,,,,2004-05-12,,,"AZ Alkmaar"
47,1,"César Huerta",,21,前锋,,,,2000-12-03,,,"RSC Anderlecht"
48,1,"Guillermo Martínez",,22,前锋,,,,1995-03-15,,,"Pumas UNAM"
49,1,"Jesús Gallardo",,23,后卫,,,,1994-08-15,,,"Deportivo Toluca FC"
50,1,"Luis Chávez",,24,中场,,,,1996-01-15,,,"FC Dynamo Moscow"
51,1,"Roberto Alvarado",,25,前锋,,,,1998-09-07,,,"CD Guadalajara"
52,1,"Brian Gutiérrez",,26,中场,,,,2003-06-17,,,"CD Guadalajara"
53,2,"Ronwen Williams",,1,守门员,,,,1992-01-21,,,"Mamelodi Sundowns FC"
54,2,"Thabang Matuludi",,2,后卫,,,,1999-01-14,,,"Polokwane City FC"
55,2,"Khulumani Ndamane",,3,后卫,,,,2004-02-05,,,"Mamelodi Sundowns FC"
56,2,"Teboho Mokoena",,4,中场,,,,1997-01-24,,,"Mamelodi Sundowns FC"
57,2,"Thalente Mbatha",,5,中场,,,,2000-03-06,,,"Orlando Pirates FC"
58,2,"Aubrey Modiba",,6,后卫,,,,1995-07-22,,,"Mamelodi Sundowns FC"
59,2,"Oswin Appollis",,7,前锋,,,,2001-08-25,,,"Orlando Pirates FC"
60,2,"Tshepang Moremi",,8,前锋,,,,2000-10-02,,,"Orlando Pirates FC"
61,2,"Lyle Foster",,9,前锋,,,,2000-09-03,,,"Burnley FC"
