id,name,nameEn,group,fifa_ranking,flag_url
1,"Mexico",,A,,🇲🇽
2,"South Africa",,A,,🇿🇦
3,"South Korea",,A,,🇰🇷
4,"Czech Republic",,A,,🇨🇿
5,"Canada",,B,,🇨🇦
6,"Bosnia & Herzegovina",,B,,🇧🇦
7,"Qatar",,B,,🇶🇦
8,"Switzerland",,B,,🇨🇭
9,"Brazil",,C,,🇧🇷
10,"Morocco",,C,,🇲🇦
11,"Haiti",,C,,🇭🇹
12,"Scotland",,C,,🏴󠁧󠁢󠁳󠁣󠁴󠁿
13,"USA",,D,,🇺🇸
14,"Paraguay",,D,,🇵🇾
15,"Australia",,D,,🇦🇺
16,"Turkey",,D,,🇹🇷
17,"Germany",,E,,🇩🇪
18,"Curaçao",,E,,🇨🇼
19,"Ivory Coast",,E,,🇨🇮
20,"Ecuador",,E,,🇪🇨
21,"Netherlands",,F,,🇳🇱
22,"Japan",,F,,🇯🇵
23,"Sweden",,F,,🇸🇪
24,"Tunisia",,F,,🇹🇳
25,"Belgium",,G,,🇧🇪
26,"Egypt",,G,,🇪🇬
27,"Iran",,G,,🇮🇷
28,"New Zealand",,G,,🇳🇿
29,"Spain",,H,,🇪🇸
30,"Cape Verde",,H,,🇨🇻
31,"Saudi Arabia",,H,,🇸🇦
32,"Uruguay",,H,,🇺🇾
33,"France",,I,,🇫🇷
34,"Senegal",,I,,🇸🇳
35,"Iraq",,I,,🇮🇶
36,"Norway",,I,,🇳🇴
37,"Argentina",,J,,🇦🇷
38,"Algeria",,J,,🇩🇿
39,"Austria",,J,,🇦🇹
40,"Jordan",,J,,🇯🇴
41,"Portugal",,K,,🇵🇹
42,"DR Congo",,K,,🇨🇩
43,"Uzbekistan",,K,,🇺🇿
44,"Colombia",,K,,🇨🇴
45,"England",,L,,🏴󠁧󠁢󠁥󠁮󠁧󠁿
46,"Croatia",,L,,🇭🇷
47,"Ghana",,L,,🇬🇭
48,"Panama",,L,,🇵🇦
