id,name,nameEn,group,fifa_ranking,flag_url
1,墨西哥,Mexico,A,15,
2,南非,South Africa,A,60,
3,韩国,Korea Republic,A,22,
4,捷克,Czechia,A,32,
5,加拿大,Canada,B,27,
6,波黑,Bosnia and Herzegovina,B,55,
7,卡塔尔,Qatar,B,40,
8,瑞士,Switzerland,B,19,
9,巴西,Brazil,C,5,
10,摩洛哥,Morocco,C,13,
11,海地,Haiti,C,75,
12,苏格兰,Scotland,C,38,
13,美国,USA,D,16,
14,巴拉圭,Paraguay,D,45,
15,澳大利亚,Australia,D,25,
16,土耳其,Türkiye,D,26,
17,德国,Germany,E,9,
18,库拉索,Curaçao,E,80,
19,科特迪瓦,Côte d'Ivoire,E,35,
20,厄瓜多尔,Ecuador,E,24,
21,荷兰,Netherlands,F,7,
22,日本,Japan,F,17,
23,瑞典,Sweden,F,23,
24,突尼斯,Tunisia,F,31,
25,比利时,Belgium,G,8,
26,埃及,Egypt,G,33,
27,伊朗,IR Iran,G,20,
28,新西兰,New Zealand,G,100,
29,西班牙,Spain,H,3,
30,佛得角,Cape Verde,H,65,
31,沙特,Saudi Arabia,H,48,
32,乌拉圭,Uruguay,H,14,
33,法国,France,I,2,
34,塞内加尔,Senegal,I,18,
35,伊拉克,Iraq,I,58,
36,挪威,Norway,I,29,
37,阿根廷,Argentina,J,1,
38,阿尔及利亚,Algeria,J,42,
39,奥地利,Austria,J,30,
40,约旦,Jordan,J,70,
41,葡萄牙,Portugal,K,6,
42,刚果(金),DR Congo,K,44,
43,乌兹别克斯坦,Uzbekistan,K,52,
44,哥伦比亚,Colombia,K,12,
45,英格兰,England,L,4,
46,克罗地亚,Croatia,L,10,
47,加纳,Ghana,L,46,
48,巴拿马,Panama,L,50,
